full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 116, Essex County, New Jersey",116,780,145,68,2814,20,11,12,0,2814,217000,2814,24,18,7,
"Census Tract 116, Hudson County, New Jersey",116,829,709,163,4620,0,7,0,16,4620,318100,4620,63,14,11,
"Census Tract 116, Hunterdon County, New Jersey",116,61,1265,204,5052,0,22,25,86,5052,449800,5052,394,12,9,
"Census Tract 1165, Passaic County, New Jersey",1165,231,1086,513,7808,100,50,11,43,7693,333100,7808,240,15,1,
"Census Tract 117, Essex County, New Jersey",117,569,522,72,3975,0,43,70,81,3948,253800,3975,87,18,2,
"Census Tract 117, Hunterdon County, New Jersey",117,159,634,315,3980,51,86,24,0,3954,434300,3980,262,12,9,
"Census Tract 117.01, Atlantic County, New Jersey",117.01,1081,1282,571,9404,26,70,40,121,9404,209500,9404,232,21,5,
"Census Tract 117.02, Atlantic County, New Jersey",117.02,622,215,78,3503,0,43,5,29,3503,117800,3503,69,21,4,
"Census Tract 118, Essex County, New Jersey",118,408,171,50,2231,0,42,38,42,2231,228500,2231,69,18,4,
"Census Tract 118, Hunterdon County, New Jersey",118,91,505,96,2815,22,52,17,41,2324,366100,2815,161,12,2,
"Census Tract 118.02, Atlantic County, New Jersey",118.02,1062,2361,625,16054,191,0,119,196,15982,262200,16054,539,21,2,
"Census Tract 118.03, Atlantic County, New Jersey",118.03,715,735,185,4756,91,13,9,0,4756,195500,4756,101,21,7,
"Census Tract 118.04, Atlantic County, New Jersey",118.04,465,662,368,6799,0,0,0,0,6799,228700,6799,235,21,3,
"Census Tract 118.05, Atlantic County, New Jersey",118.05,287,413,125,2286,4,0,0,0,2286,243600,2286,91,21,1,
"Census Tract 119, Atlantic County, New Jersey",119,2381,446,134,8009,99,0,15,86,7978,162700,8009,176,21,6,
"Census Tract 119, Essex County, New Jersey",119,475,66,65,1665,19,18,0,14,1665,197500,1665,26,18,6,
"Census Tract 119, Hunterdon County, New Jersey",119,190,1037,133,3876,112,35,43,68,3876,341500,3876,340,12,2,
"Census Tract 12, Atlantic County, New Jersey",12,1045,146,165,3259,0,35,0,9,3259,202000,3259,73,21,4,
"Census Tract 12, Mercer County, New Jersey",12,508,365,129,3871,56,0,0,0,3838,158000,3871,142,28,4,
"Census Tract 12, Middlesex County, New Jersey",12,903,632,237,5462,0,190,0,71,5462,344200,5462,211,16,2,
"Census Tract 12.01, Hudson County, New Jersey",12.01,244,609,86,2156,0,59,42,22,2156,336200,2156,34,14,16,
"Census Tract 12.02, Hudson County, New Jersey",12.02,499,195,36,1386,0,6,0,77,1374,320000,1386,28,14,16,
"Census Tract 120, Atlantic County, New Jersey",120,893,341,167,4489,14,38,32,77,4489,146700,4489,35,21,6,
"Census Tract 120, Essex County, New Jersey",120,760,490,456,5808,0,177,0,29,5605,191200,5808,83,18,3,
"Census Tract 120.01, Bergen County, New Jersey",120.01,719,1405,329,5868,0,470,17,63,5868,463700,5868,118,20,4,
"Census Tract 120.02, Bergen County, New Jersey",120.02,101,629,83,3430,28,0,0,65,3430,359300,3430,83,20,4,
"Census Tract 121, Atlantic County, New Jersey",121,795,155,118,3229,0,15,48,0,3006,141500,3229,83,21,2,
"Census Tract 121, Essex County, New Jersey",121,867,221,177,3904,0,120,0,42,3904,233200,3904,44,18,2,
"Census Tract 122, Atlantic County, New Jersey",122,762,186,150,5357,11,0,180,90,5226,170200,5357,112,21,6,
"Census Tract 122, Essex County, New Jersey",122,1199,409,402,5748,0,0,0,0,5748,227000,5748,89,18,5,
"Census Tract 123, Essex County, New Jersey",123,647,376,236,4946,0,27,19,40,4946,197600,4946,65,18,1,
"Census Tract 123, Hudson County, New Jersey",123,227,419,85,2518,0,102,0,0,2518,324100,2518,68,14,5,
"Census Tract 123.02, Atlantic County, New Jersey",123.02,199,698,113,3569,222,0,20,41,3569,254300,3569,131,21,3,
"Census Tract 124, Essex County, New Jersey",124,1282,297,334,4827,20,107,0,11,4807,208300,4827,47,18,1,
"Census Tract 124, Hudson County, New Jersey",124,236,552,114,3247,156,23,0,0,3228,360600,3247,107,14,5,
"Census Tract 124.01, Atlantic County, New Jersey",124.01,487,290,94,2876,0,0,0,0,2732,213600,2876,101,21,6,
"Census Tract 124.02, Atlantic County, New Jersey",124.02,217,324,151,2171,11,0,15,0,2161,241400,2171,69,21,3,
"Census Tract 1242, Passaic County, New Jersey",1242,265,1224,270,7012,17,17,34,0,7012,357700,7012,208,15,13,
"Census Tract 1243.11, Passaic County, New Jersey",1243.11,235,787,219,4618,98,19,13,14,4618,354600,4618,188,15,13,
"Census Tract 1243.12, Passaic County, New Jersey",1243.12,111,802,157,4690,161,0,8,25,4690,442300,4690,197,15,13,
"Census Tract 1243.21, Passaic County, New Jersey",1243.21,411,1038,242,5985,171,42,13,43,5985,341500,5985,102,15,13,
"Census Tract 1243.22, Passaic County, New Jersey",1243.22,25,973,267,4370,47,39,36,67,4370,337100,4370,209,15,13,
"Census Tract 1243.23, Passaic County, New Jersey",1243.23,419,603,89,2903,52,159,0,120,2903,324400,2903,50,15,13,
"Census Tract 1244.01, Passaic County, New Jersey",1244.01,181,959,434,6542,16,12,16,38,6542,353500,6542,183,15,13,
"Census Tract 1244.02, Passaic County, New Jersey",1244.02,509,986,172,5119,68,33,0,0,5119,337400,5119,180,15,13,
"Census Tract 1245, Passaic County, New Jersey",1245,1009,689,203,6729,39,0,36,0,6729,308700,6729,218,15,13,
"Census Tract 1246.01, Passaic County, New Jersey",1246.01,745,312,255,4890,13,325,0,5,4677,319100,4890,79,15,13,
"Census Tract 1246.02, Passaic County, New Jersey",1246.02,476,618,311,4887,0,4,6,0,4887,343200,4887,136,15,13,
"Census Tract 1247, Passaic County, New Jersey",1247,666,760,294,6184,46,0,0,104,6184,294100,6184,103,15,4,
"Census Tract 1248, Passaic County, New Jersey",1248,296,433,193,4635,0,14,24,18,4618,304700,4635,132,15,13,
"Census Tract 1249, Passaic County, New Jersey",1249,572,449,261,5685,37,63,22,7,5685,278100,5685,134,15,13,
"Census Tract 125, Essex County, New Jersey",125,783,320,266,3617,0,42,33,69,3617,219800,3617,46,18,4,
"Census Tract 125, Hudson County, New Jersey",125,177,575,107,4302,70,0,66,0,4302,341700,4302,145,14,5,
"Census Tract 125.01, Atlantic County, New Jersey",125.01,33,360,132,2786,10,0,2,10,2653,257800,2786,128,21,1,
"Census Tract 125.02, Atlantic County, New Jersey",125.02,22,328,44,1502,0,0,0,9,1502,270500,1502,64,21,5,
"Census Tract 1250, Passaic County, New Jersey",1250,1051,523,209,6747,0,8,20,9,6747,326400,6747,166,15,13,
"Census Tract 1251, Passaic County, New Jersey",1251,702,259,179,4142,13,6,0,0,4142,307500,4142,48,15,13,
"Census Tract 126, Essex County, New Jersey",126,655,210,241,3252,0,61,0,0,3252,192200,3252,68,18,7,
"Census Tract 126, Hudson County, New Jersey",126,398,331,149,3343,13,171,0,68,3343,257600,3343,53,14,2,
"Census Tract 126.02, Atlantic County, New Jersey",126.02,49,381,101,1431,35,12,0,0,1431,349500,1431,77,21,6,
"Census Tract 127, Essex County, New Jersey",127,447,185,286,4402,45,70,29,0,4402,206000,4402,68,18,4,
"Census Tract 127, Hudson County, New Jersey",127,553,489,208,6033,43,51,0,23,5424,267500,6033,226,14,4,
"Census Tract 127.01, Atlantic County, New Jersey",127.01,316,391,171,3298,9,0,8,9,3298,233800,3298,68,21,4,
"Census Tract 127.02, Atlantic County, New Jersey",127.02,476,131,115,1740,35,0,0,24,1740,237400,1740,40,21,1,
"Census Tract 128, Essex County, New Jersey",128,668,148,198,3419,0,3,33,215,3419,173000,3419,63,18,4,
"Census Tract 128, Hudson County, New Jersey",128,256,305,133,3905,11,123,0,18,3905,330200,3905,164,14,1,
"Census Tract 128.01, Atlantic County, New Jersey",128.01,687,365,183,3926,0,296,21,42,3906,199100,3926,143,21,6,
"Census Tract 128.02, Atlantic County, New Jersey",128.02,169,325,191,1819,0,17,7,9,1819,244700,1819,102,21,1,
"Census Tract 129, Essex County, New Jersey",129,1258,209,62,3291,0,0,0,24,3291,187500,3291,110,18,4,
