"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 11, Middlesex County, New Jersey","11",397,911,49,4565,17,271,69,88,4563,449200,4565,205,NA,NA,NA
"Census Tract 11.01, Mercer County, New Jersey","11.01",455,100,72,2211,0,37,0,62,2211,197000,2211,0,NA,NA,NA
"Census Tract 11.02, Mercer County, New Jersey","11.02",1101,77,147,3814,0,58,51,0,3696,102200,3814,95,NA,NA,NA
"Census Tract 110, Atlantic County, New Jersey","110",263,283,78,2444,8,0,10,0,2444,252700,2444,113,NA,NA,NA
"Census Tract 110, Hudson County, New Jersey","110",344,221,83,2267,0,0,0,0,2267,276700,2267,86,NA,NA,NA
"Census Tract 110.01, Hunterdon County, New Jersey","110.01",39,1115,222,6563,0,54,22,0,4918,480100,6563,231,NA,NA,NA
"Census Tract 110.02, Hunterdon County, New Jersey","110.02",244,1629,261,6796,85,0,119,51,6735,446900,6796,338,NA,NA,NA
"Census Tract 111, Atlantic County, New Jersey","111",550,311,121,3210,169,8,0,0,3210,237100,3210,109,NA,NA,NA
"Census Tract 111, Bergen County, New Jersey","111",155,543,188,4351,21,10,0,10,4351,379100,4351,101,NA,NA,NA
"Census Tract 111, Essex County, New Jersey","111",1098,323,69,3521,0,133,0,140,3496,143600,3521,108,NA,NA,NA
"Census Tract 111, Hudson County, New Jersey","111",932,407,271,4810,0,11,11,65,4810,346300,4810,138,NA,NA,NA
"Census Tract 111, Hunterdon County, New Jersey","111",506,873,289,5381,180,136,0,14,5381,394100,5381,260,NA,NA,NA
"Census Tract 112, Bergen County, New Jersey","112",637,469,290,4648,14,0,23,0,4648,377600,4648,61,NA,NA,NA
"Census Tract 112, Essex County, New Jersey","112",900,186,97,3071,0,17,0,43,3057,215900,3071,67,NA,NA,NA
"Census Tract 112, Hudson County, New Jersey","112",318,980,115,6273,26,97,82,83,6239,370500,6273,103,NA,NA,NA
"Census Tract 112.01, Atlantic County, New Jersey","112.01",143,154,100,1827,34,14,10,0,1827,222300,1827,42,NA,NA,NA
"Census Tract 112.01, Hunterdon County, New Jersey","112.01",23,1688,198,7110,434,0,143,0,7110,496600,7110,366,NA,NA,NA
"Census Tract 112.02, Atlantic County, New Jersey","112.02",1055,446,268,7580,79,137,22,0,7580,189500,7580,312,NA,NA,NA
"Census Tract 112.02, Hunterdon County, New Jersey","112.02",164,739,199,3627,105,22,35,6,3618,454400,3627,188,NA,NA,NA
"Census Tract 113, Atlantic County, New Jersey","113",356,336,171,4559,36,58,0,17,4559,195900,4559,131,NA,NA,NA
"Census Tract 113, Bergen County, New Jersey","113",201,696,222,4562,0,0,20,16,4562,397700,4562,165,NA,NA,NA
"Census Tract 113, Essex County, New Jersey","113",654,269,120,3168,0,6,0,120,3165,NA,3168,41,NA,NA,NA
"Census Tract 113, Hudson County, New Jersey","113",452,324,173,2719,0,14,0,10,2719,330300,2719,68,NA,NA,NA
"Census Tract 113.01, Hunterdon County, New Jersey","113.01",268,1501,412,6702,0,0,87,0,6528,459700,6702,329,NA,NA,NA
"Census Tract 113.02, Hunterdon County, New Jersey","113.02",250,1564,435,7193,248,0,58,81,7169,443300,7193,424,NA,NA,NA
"Census Tract 113.03, Hunterdon County, New Jersey","113.03",221,840,342,4612,35,38,0,0,4612,291000,4612,209,NA,NA,NA
"Census Tract 113.04, Hunterdon County, New Jersey","113.04",61,693,127,3556,9,0,14,0,3541,487500,3556,191,NA,NA,NA
"Census Tract 114, Bergen County, New Jersey","114",320,642,385,5900,14,0,0,73,5900,413300,5900,233,NA,NA,NA
"Census Tract 114, Essex County, New Jersey","114",632,494,264,4694,0,20,0,154,4582,241100,4694,87,NA,NA,NA
"Census Tract 114, Hudson County, New Jersey","114",265,377,157,3288,0,9,14,0,3288,315500,3288,97,NA,NA,NA
"Census Tract 114, Hunterdon County, New Jersey","114",713,723,203,4582,20,83,7,56,4469,294000,4582,218,NA,NA,NA
"Census Tract 114.01, Atlantic County, New Jersey","114.01",236,498,249,4056,25,0,0,46,4035,244000,4056,149,NA,NA,NA
"Census Tract 114.03, Atlantic County, New Jersey","114.03",292,573,423,5552,24,222,16,128,5535,162100,5552,42,NA,NA,NA
