"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 118.03, Atlantic County, New Jersey","118.03",916,816,342,4626,17,46,38,38,4626,201900,4626,174,NA,NA
"Census Tract 118.04, Atlantic County, New Jersey","118.04",351,902,281,6857,119,90,0,0,6857,198400,6857,278,NA,NA
"Census Tract 118.05, Atlantic County, New Jersey","118.05",198,276,76,1999,18,0,13,0,1993,242400,1999,69,NA,NA
"Census Tract 119, Atlantic County, New Jersey","119",1615,690,121,8433,43,127,22,51,8382,170200,8433,94,NA,NA
"Census Tract 119, Essex County, New Jersey","119",334,150,115,1612,0,32,0,0,1612,134400,1612,9,NA,NA
"Census Tract 119, Hunterdon County, New Jersey","119",400,990,212,3820,39,220,114,136,3820,383000,3820,342,NA,NA
"Census Tract 12, Atlantic County, New Jersey","12",1296,182,188,3306,12,32,0,0,3306,138300,3306,12,NA,NA
"Census Tract 12, Mercer County, New Jersey","12",461,432,233,4050,0,0,0,12,4012,169000,4050,120,NA,NA
"Census Tract 12, Middlesex County, New Jersey","12",620,1059,298,5107,0,114,0,92,5107,335700,5107,158,NA,NA
"Census Tract 12.01, Hudson County, New Jersey","12.01",449,598,40,2175,0,0,5,45,2175,403300,2175,59,NA,NA
"Census Tract 12.02, Hudson County, New Jersey","12.02",338,235,39,1357,0,3,0,33,1342,381300,1357,25,NA,NA
"Census Tract 120, Atlantic County, New Jersey","120",1027,416,98,4524,24,27,18,0,4524,123100,4524,74,NA,NA
"Census Tract 120, Essex County, New Jersey","120",1416,606,374,6372,0,63,57,256,6181,170700,6372,92,NA,NA
"Census Tract 120.01, Bergen County, New Jersey","120.01",870,1633,432,6174,0,44,18,29,6174,407600,6174,246,NA,NA
"Census Tract 120.02, Bergen County, New Jersey","120.02",140,700,192,3292,21,57,13,98,3277,370600,3292,110,NA,NA
"Census Tract 121, Atlantic County, New Jersey","121",805,90,202,2841,0,18,2,0,2666,136100,2841,45,NA,NA
"Census Tract 121, Essex County, New Jersey","121",624,367,134,3757,0,33,0,107,3757,199400,3757,86,NA,NA
"Census Tract 122, Atlantic County, New Jersey","122",932,217,177,5297,23,16,34,80,5223,151500,5297,91,NA,NA
"Census Tract 122, Essex County, New Jersey","122",1133,482,179,5122,0,0,0,0,5122,212100,5122,81,NA,NA
"Census Tract 123, Essex County, New Jersey","123",884,387,252,5069,0,49,27,33,5051,175000,5069,79,NA,NA
"Census Tract 123, Hudson County, New Jersey","123",288,333,47,2466,0,63,0,0,2466,303900,2466,65,NA,NA
"Census Tract 123.02, Atlantic County, New Jersey","123.02",267,618,211,3502,0,0,31,20,3502,241700,3502,67,NA,NA
"Census Tract 124, Essex County, New Jersey","124",931,386,241,4524,20,21,0,0,4524,200200,4524,52,NA,NA
"Census Tract 124, Hudson County, New Jersey","124",108,592,119,2994,126,0,14,0,2977,350700,2994,136,NA,NA
"Census Tract 124.01, Atlantic County, New Jersey","124.01",335,415,188,2935,47,0,20,11,2771,210000,2935,135,NA,NA
"Census Tract 124.02, Atlantic County, New Jersey","124.02",112,408,102,1907,12,0,28,0,1907,223400,1907,36,NA,NA
"Census Tract 1242, Passaic County, New Jersey","1242",393,1459,322,7654,278,57,93,14,7654,344600,7654,209,NA,NA
"Census Tract 1243.11, Passaic County, New Jersey","1243.11",232,943,337,4686,68,20,38,0,4686,360000,4686,174,NA,NA
"Census Tract 1243.12, Passaic County, New Jersey","1243.12",151,980,163,4114,15,0,15,65,4114,436400,4114,171,NA,NA
"Census Tract 1243.21, Passaic County, New Jersey","1243.21",436,1100,395,6198,152,162,49,17,6198,349000,6198,165,NA,NA
"Census Tract 1243.22, Passaic County, New Jersey","1243.22",272,884,184,4451,92,34,58,53,4451,341500,4451,155,NA,NA
"Census Tract 1243.23, Passaic County, New Jersey","1243.23",323,825,110,3115,0,163,0,17,3115,331800,3115,81,NA,NA
"Census Tract 1244.01, Passaic County, New Jersey","1244.01",685,1234,318,7655,73,14,132,80,7655,385300,7655,265,NA,NA
"Census Tract 1244.02, Passaic County, New Jersey","1244.02",496,1161,259,5116,44,0,0,0,5116,333700,5116,152,NA,NA
"Census Tract 1245, Passaic County, New Jersey","1245",334,953,380,5418,135,15,37,0,5418,281900,5418,117,NA,NA
"Census Tract 1246.01, Passaic County, New Jersey","1246.01",977,463,161,4853,50,262,10,6,4644,293400,4853,120,NA,NA
"Census Tract 1246.02, Passaic County, New Jersey","1246.02",543,781,159,4873,126,7,0,29,4873,330500,4873,180,NA,NA
"Census Tract 1247, Passaic County, New Jersey","1247",648,631,324,6187,22,43,5,0,6180,296500,6187,58,NA,NA
"Census Tract 1248, Passaic County, New Jersey","1248",591,530,91,4734,29,6,26,24,4713,292100,4734,158,NA,NA
"Census Tract 1249, Passaic County, New Jersey","1249",605,448,163,5207,103,87,13,16,5207,326800,5207,61,NA,NA
"Census Tract 125, Essex County, New Jersey","125",881,349,123,3575,23,22,0,114,3575,214200,3575,32,NA,NA
"Census Tract 125, Hudson County, New Jersey","125",263,812,96,4019,60,92,9,0,4019,330200,4019,79,NA,NA
"Census Tract 125.01, Atlantic County, New Jersey","125.01",14,433,141,2584,14,69,25,69,2427,276800,2584,124,NA,NA
"Census Tract 125.02, Atlantic County, New Jersey","125.02",26,310,37,1470,4,21,0,0,1458,276800,1470,115,NA,NA
"Census Tract 1250, Passaic County, New Jersey","1250",667,542,193,7131,9,260,57,0,7131,339600,7131,142,NA,NA
"Census Tract 1251, Passaic County, New Jersey","1251",811,148,49,3777,13,11,0,82,3777,242600,3777,75,NA,NA
"Census Tract 126, Essex County, New Jersey","126",711,311,139,2978,22,73,0,0,2978,162500,2978,13,NA,NA
"Census Tract 126, Hudson County, New Jersey","126",369,573,120,3711,8,35,10,21,3711,334200,3711,107,NA,NA
"Census Tract 126.02, Atlantic County, New Jersey","126.02",14,250,86,1408,24,30,40,0,1408,290100,1408,88,NA,NA
"Census Tract 127, Essex County, New Jersey","127",447,304,150,4226,0,64,0,0,4226,165600,4226,57,NA,NA
"Census Tract 127, Hudson County, New Jersey","127",517,523,184,6393,0,49,42,9,5072,287400,6393,249,NA,NA
"Census Tract 127.01, Atlantic County, New Jersey","127.01",217,445,149,3250,11,18,0,0,3250,213000,3250,83,NA,NA
"Census Tract 127.02, Atlantic County, New Jersey","127.02",393,183,96,1819,94,56,20,0,1819,223200,1819,16,NA,NA
"Census Tract 128, Essex County, New Jersey","128",528,291,260,3354,0,13,20,0,3354,157700,3354,61,NA,NA
"Census Tract 128, Hudson County, New Jersey","128",411,441,221,4420,32,99,20,248,4420,332700,4420,133,NA,NA
"Census Tract 128.01, Atlantic County, New Jersey","128.01",394,550,84,3836,27,9,56,0,3799,211500,3836,128,NA,NA
"Census Tract 128.02, Atlantic County, New Jersey","128.02",157,307,128,1555,59,13,0,46,1555,233500,1555,117,NA,NA
"Census Tract 129, Essex County, New Jersey","129",1074,178,98,3543,0,0,0,0,3543,165700,3543,157,NA,NA
"Census Tract 129, Hudson County, New Jersey","129",724,487,115,4000,48,0,11,102,3880,326800,4000,75,NA,NA
"Census Tract 13, Atlantic County, New Jersey","13",421,195,90,1576,6,28,0,24,1576,172900,1576,12,NA,NA
"Census Tract 13, Essex County, New Jersey","13",335,78,84,1584,0,8,0,42,1584,NA,1584,64,NA,NA
"Census Tract 13, Hudson County, New Jersey","13",782,546,88,2896,0,59,13,186,2720,383300,2896,123,NA,NA
"Census Tract 13, Mercer County, New Jersey","13",614,474,118,4570,19,72,100,0,3371,197500,4570,75,NA,NA
